Date,Temperature,Humidity,Rainfall
2021-01-01,26.42,82.92,16.44
2021-01-02,25.89,76.67,1.12
2021-01-03,23.71,78.26,0.0
2021-01-04,25.34,80.21,0.0
2021-01-05,26.05,74.59,0.0
2021-01-06,24.8,82.04,3.98
2021-01-07,25.87,79.07,4.88
2021-01-08,25.79,79.29,3.24
2021-01-09,25.78,80.82,0.0
2021-01-10,25.68,77.94,1.4
2021-01-11,26.37,84.18,4.4
2021-01-12,27.23,81.84,8.72
2021-01-13,25.14,75.56,0.0
2021-01-14,27.22,79.59,5.25
2021-01-15,26.51,77.73,2.21
2021-01-16,26.8,81.67,0.0
2021-01-17,25.31,81.4,0.0
2021-01-18,26.66,83.19,9.76
2021-01-19,28.09,77.52,4.07
2021-01-20,25.61,78.0,0.0
2021-01-21,24.79,79.42,0.9
2021-01-22,25.11,79.63,2.43
2021-01-23,27.19,76.51,1.52
2021-01-24,29.39,80.46,0.0
2021-01-25,28.21,77.96,0.0
2021-01-26,28.84,70.64,4.44
2021-01-27,27.34,70.64,0.21
2021-01-28,28.72,74.73,0.0
2021-01-29,27.12,82.14,5.57
2021-01-30,28.08,80.13,0.0
2021-01-31,27.28,78.23,2.2
2021-02-01,27.07,75.82,0.56
2021-02-02,27.82,76.53,3.49
2021-02-03,27.29,78.35,3.3
2021-02-04,29.14,75.35,0.0
2021-02-05,28.1,80.17,5.5
2021-02-06,28.37,80.61,1.63
2021-02-07,27.7,79.18,1.63
2021-02-08,29.37,73.88,11.47
2021-02-09,27.45,75.04,0.0
2021-02-10,28.9,75.04,1.63
2021-02-11,27.96,75.88,3.33
2021-02-12,27.43,70.53,2.57
2021-02-13,27.95,78.29,0.0
2021-02-14,27.69,71.62,4.17
2021-02-15,28.35,74.56,2.2
2021-02-16,28.28,73.98,0.0
2021-02-17,28.99,72.93,5.63
2021-02-18,29.3,76.79,0.0
2021-02-19,28.64,74.15,5.8
2021-02-20,28.82,75.49,2.83
2021-02-21,29.19,74.8,6.49
2021-02-22,28.41,70.19,0.0
2021-02-23,29.71,76.1,0.02
2021-02-24,29.9,75.24,0.0
2021-02-25,29.31,68.46,0.08
2021-02-26,31.55,70.37,7.5
2021-02-27,30.12,69.87,0.26
2021-02-28,29.14,71.51,11.33
2021-03-01,28.93,71.65,0.0
2021-03-02,29.11,76.92,2.76
2021-03-03,28.88,67.18,5.02
2021-03-04,30.55,68.44,0.0
2021-03-05,28.76,72.75,2.66
2021-03-06,29.42,72.31,6.37
2021-03-07,29.01,66.17,7.6
2021-03-08,30.62,70.55,7.94
2021-03-09,28.19,66.7,6.72
2021-03-10,29.28,69.4,0.0
2021-03-11,29.55,69.12,6.14
2021-03-12,30.02,72.05,0.41
2021-03-13,30.19,61.94,0.0
2021-03-14,29.54,63.85,0.0
2021-03-15,30.77,67.59,0.0
2021-03-16,30.12,62.34,0.0
2021-03-17,32.3,63.54,0.0
2021-03-18,28.34,67.68,4.6
2021-03-19,30.49,61.99,7.04
2021-03-20,28.84,62.44,6.58
2021-03-21,29.11,63.84,4.71
2021-03-22,31.91,59.07,4.19
2021-03-23,31.68,69.67,2.06
2021-03-24,28.09,59.46,7.93
2021-03-25,29.74,56.65,3.69
2021-03-26,29.91,61.78,4.73
2021-03-27,27.85,60.38,0.0
2021-03-28,29.94,63.84,0.28
2021-03-29,30.39,64.27,0.0
2021-03-30,30.21,56.28,1.85
2021-03-31,28.0,57.2,4.3
2021-04-01,31.11,57.03,0.0
2021-04-02,30.24,66.4,8.87
2021-04-03,29.94,59.08,3.55
2021-04-04,29.24,63.76,0.0
2021-04-05,30.7,58.95,6.15
2021-04-06,30.9,58.48,0.0
2021-04-07,29.49,53.73,3.17
2021-04-08,30.06,57.61,1.9
2021-04-09,30.78,60.44,0.0
2021-04-10,27.99,57.4,1.45
2021-04-11,30.05,57.92,2.25
2021-04-12,28.01,57.37,0.67
2021-04-13,28.98,63.33,7.62
2021-04-14,30.35,53.29,2.45
2021-04-15,29.72,57.61,9.99
2021-04-16,29.44,57.09,0.0
2021-04-17,29.52,56.81,0.05
2021-04-18,30.64,59.59,1.67
2021-04-19,30.48,52.32,3.65
2021-04-20,28.95,51.84,3.55
2021-04-21,30.01,53.9,8.17
2021-04-22,29.21,54.93,6.54
2021-04-23,32.06,48.91,0.0
2021-04-24,28.88,52.19,0.0
2021-04-25,29.28,50.57,5.75
2021-04-26,29.2,56.13,0.17
2021-04-27,29.08,56.2,1.98
2021-04-28,29.62,51.26,1.39
2021-04-29,29.71,53.87,0.94
2021-04-30,27.78,44.69,0.79
2021-05-01,28.79,48.91,3.23
2021-05-02,28.0,45.79,2.7
2021-05-03,30.51,48.98,0.0
2021-05-04,31.69,51.94,9.29
2021-05-05,30.56,47.29,5.18
2021-05-06,29.48,48.75,10.02
2021-05-07,30.11,54.36,0.0
2021-05-08,29.2,49.71,8.05
2021-05-09,30.64,56.28,0.0
2021-05-10,29.6,47.39,0.84
2021-05-11,28.64,41.82,1.48
2021-05-12,27.69,48.59,0.0
2021-05-13,28.12,46.14,8.49
2021-05-14,29.02,42.29,7.41
2021-05-15,27.42,43.68,0.0
2021-05-16,28.37,40.74,0.73
2021-05-17,29.87,52.0,2.3
2021-05-18,28.5,40.85,6.35
2021-05-19,30.39,51.09,0.0
2021-05-20,29.79,44.07,3.21
2021-05-21,27.99,45.21,0.0
2021-05-22,26.85,45.66,3.14
2021-05-23,28.1,47.48,0.0
2021-05-24,27.6,39.08,0.77
2021-05-25,28.39,44.53,2.25
2021-05-26,29.55,37.67,0.17
2021-05-27,26.75,44.85,0.0
2021-05-28,27.41,41.58,2.44
2021-05-29,28.06,42.35,0.0
2021-05-30,28.79,46.77,7.57
2021-05-31,28.09,37.41,0.0
2021-06-01,27.92,42.5,1.94
2021-06-02,28.78,43.97,24.59
2021-06-03,27.85,42.97,29.39
2021-06-04,27.04,48.15,1.07
2021-06-05,27.26,43.63,34.23
2021-06-06,26.42,38.65,9.21
2021-06-07,27.59,40.48,0.0
2021-06-08,27.91,41.08,15.93
2021-06-09,23.91,44.5,38.68
2021-06-10,28.03,43.84,12.92
2021-06-11,26.67,42.23,29.89
2021-06-12,27.11,42.51,11.84
2021-06-13,27.23,42.04,11.41
2021-06-14,24.19,42.13,38.19
2021-06-15,25.21,41.83,0.0
2021-06-16,25.99,46.59,15.38
2021-06-17,25.44,43.77,6.6
2021-06-18,26.43,43.35,35.58
2021-06-19,25.55,42.57,0.0
2021-06-20,24.27,42.78,49.14
2021-06-21,26.51,36.05,25.73
2021-06-22,26.91,41.81,15.9
2021-06-23,26.29,37.69,13.73
2021-06-24,24.93,45.65,25.9
2021-06-25,25.3,40.82,17.14
2021-06-26,26.02,40.99,8.73
2021-06-27,25.99,44.92,0.0
2021-06-28,26.31,37.53,0.0
2021-06-29,24.92,35.9,33.48
2021-06-30,23.71,41.28,8.24
2021-07-01,24.36,41.51,13.87
2021-07-02,25.49,41.84,10.01
2021-07-03,25.61,39.17,35.93
2021-07-04,27.01,41.03,31.44
2021-07-05,24.82,38.44,13.08
2021-07-06,24.86,35.86,12.95
2021-07-07,24.35,42.26,22.34
2021-07-08,24.04,40.48,0.17
2021-07-09,25.14,36.14,21.86
2021-07-10,24.62,35.81,12.49
2021-07-11,23.98,36.85,21.97
2021-07-12,23.02,41.43,19.44
2021-07-13,23.89,37.61,6.25
2021-07-14,23.54,41.34,43.7
2021-07-15,25.1,36.41,8.59
2021-07-16,24.71,39.85,31.43
2021-07-17,22.66,41.94,20.76
2021-07-18,24.77,38.21,1.4
2021-07-19,22.94,38.82,32.98
2021-07-20,23.57,36.98,26.35
2021-07-21,24.56,44.24,14.27
2021-07-22,22.25,39.76,26.94
2021-07-23,23.35,41.45,38.92
2021-07-24,21.98,36.15,19.06
2021-07-25,21.09,39.81,44.24
2021-07-26,23.94,41.91,34.81
2021-07-27,22.9,44.02,21.88
2021-07-28,21.98,42.28,0.0
2021-07-29,21.13,36.89,0.0
2021-07-30,22.24,42.21,20.31
2021-07-31,23.91,42.48,16.14
2021-08-01,22.9,43.87,27.34
2021-08-02,22.05,44.37,3.55
2021-08-03,21.67,40.27,62.29
2021-08-04,22.38,43.02,2.97
2021-08-05,20.65,45.32,23.24
2021-08-06,23.48,45.93,21.61
2021-08-07,22.56,41.04,14.32
2021-08-08,23.19,41.75,29.77
2021-08-09,21.36,44.97,7.29
2021-08-10,22.71,43.35,6.61
2021-08-11,22.48,43.8,24.73
2021-08-12,20.19,47.43,46.61
2021-08-13,21.81,45.57,41.68
2021-08-14,21.91,47.1,39.81
2021-08-15,20.96,47.43,53.01
2021-08-16,21.11,42.61,22.25
2021-08-17,21.85,48.29,0.0
2021-08-18,21.31,46.18,38.05
2021-08-19,20.29,41.75,38.39
2021-08-20,21.83,47.54,31.07
2021-08-21,21.41,47.8,29.9
2021-08-22,21.37,48.44,24.47
2021-08-23,21.17,46.08,31.62
2021-08-24,21.47,50.85,10.63
2021-08-25,20.68,45.84,20.94
2021-08-26,20.05,47.27,18.78
2021-08-27,20.13,51.99,37.17
2021-08-28,21.93,50.5,36.58
2021-08-29,18.76,50.01,39.36
2021-08-30,21.27,54.79,18.36
2021-08-31,19.24,49.2,10.93
2021-09-01,19.03,44.66,28.07
2021-09-02,19.59,51.15,4.33
2021-09-03,20.3,49.6,12.71
2021-09-04,21.25,50.08,19.2
2021-09-05,18.78,48.72,22.12
2021-09-06,22.12,48.65,19.11
2021-09-07,21.58,50.15,10.33
2021-09-08,20.25,53.54,44.65
2021-09-09,20.06,49.16,19.11
2021-09-10,19.36,54.49,44.22
2021-09-11,20.87,51.7,0.0
2021-09-12,20.33,54.11,45.64
2021-09-13,21.64,58.5,0.85
2021-09-14,19.52,52.89,19.06
2021-09-15,20.73,55.27,32.33
2021-09-16,20.12,54.57,20.43
2021-09-17,19.29,58.28,23.24
2021-09-18,22.02,51.13,37.77
2021-09-19,20.38,57.17,21.08
2021-09-20,20.71,54.84,49.86
2021-09-21,19.0,52.6,35.8
2021-09-22,19.33,54.21,18.39
2021-09-23,20.13,55.73,2.56
2021-09-24,19.45,58.17,25.96
2021-09-25,20.63,58.84,13.79
2021-09-26,20.46,60.79,4.21
2021-09-27,19.23,56.06,22.24
2021-09-28,20.2,58.81,0.0
2021-09-29,20.01,59.8,18.79
2021-09-30,19.84,61.98,18.75
2021-10-01,18.85,57.06,0.0
2021-10-02,19.17,59.99,0.0
2021-10-03,20.21,56.29,4.58
2021-10-04,21.02,60.23,0.0
2021-10-05,19.04,58.1,4.51
2021-10-06,21.24,59.26,6.26
2021-10-07,20.21,62.96,0.0
2021-10-08,18.77,62.02,0.0
2021-10-09,20.37,60.65,0.0
2021-10-10,20.95,66.99,0.0
2021-10-11,20.34,66.29,0.0
2021-10-12,22.41,63.7,5.76
2021-10-13,20.42,62.13,10.1
2021-10-14,21.02,66.26,6.58
2021-10-15,20.16,63.46,1.8
2021-10-16,21.15,64.68,0.0
2021-10-17,17.8,67.06,2.2
2021-10-18,19.36,65.15,0.0
2021-10-19,19.88,59.44,1.5
2021-10-20,20.78,66.86,0.0
2021-10-21,20.49,70.38,0.0
2021-10-22,21.42,68.15,1.63
2021-10-23,20.72,65.55,0.0
2021-10-24,20.6,72.59,6.95
2021-10-25,20.28,64.36,10.41
2021-10-26,20.63,73.1,3.65
2021-10-27,21.33,67.51,6.12
2021-10-28,21.3,64.84,6.88
2021-10-29,21.46,71.16,1.56
2021-10-30,20.38,71.95,0.0
2021-10-31,19.97,71.04,7.59
2021-11-01,20.23,72.06,0.0
2021-11-02,21.1,73.85,3.1
2021-11-03,22.41,72.07,0.0
2021-11-04,21.08,74.72,5.14
2021-11-05,21.38,72.84,9.81
2021-11-06,19.28,74.04,5.57
2021-11-07,23.67,70.67,3.95
2021-11-08,19.94,70.79,6.79
2021-11-09,22.92,69.56,0.0
2021-11-10,20.6,74.95,3.8
2021-11-11,22.17,71.35,0.0
2021-11-12,22.08,72.35,0.52
2021-11-13,21.39,72.76,11.03
2021-11-14,21.22,73.21,0.0
2021-11-15,20.5,66.92,0.29
2021-11-16,21.45,70.76,9.32
2021-11-17,22.67,75.82,2.39
2021-11-18,22.0,69.47,3.31
2021-11-19,20.81,78.64,0.0
2021-11-20,22.91,76.59,5.39
2021-11-21,20.62,73.84,0.0
2021-11-22,22.1,75.3,0.71
2021-11-23,21.07,75.51,0.0
2021-11-24,21.24,78.18,0.0
2021-11-25,23.18,77.24,0.0
2021-11-26,21.7,79.89,0.0
2021-11-27,20.72,81.4,5.75
2021-11-28,21.77,80.31,5.18
2021-11-29,23.14,76.39,3.55
2021-11-30,21.73,78.75,0.89
2021-12-01,23.75,77.5,8.55
2021-12-02,23.61,79.37,0.0
2021-12-03,22.76,70.22,4.87
2021-12-04,23.93,73.09,2.88
2021-12-05,24.7,85.4,2.57
2021-12-06,20.93,79.61,0.0
2021-12-07,24.15,82.94,0.0
2021-12-08,23.68,81.78,0.0
